X,Y,FID,OBJECTID,Subestacio,Provincia,Canton,Distrito,CodDistrit,PuntoX,PuntoY,Observacio
-9363895.63819281,1099668.61354021,50,50,Tarbaca,San Jose,Aserri,Tarbaca,10602,487133.323,1086935.2585,TAR
-9355579.38792198,1112962.9474358,51,52,Sabanilla,San Jose,Montes de Oca,Mercedes,11503,495329.1312,1099945.0061,SAB
-9333226.9757675,1093589.80266171,52,53,Rio Macho,Cartago,Paraiso,Orosi,30203,517354.4894,1080985.9866,RMA
-9247252.10933638,970564.844813564,53,54,Rio Claro,Puntarenas,Golfito,Guaycara,60703,602399.1791,960471.3335,RCL
-9382466.89007244,1121814.90481779,54,55,Poas,Alajuela,Poas,Carrillos,20804,468853.1798,1108619.3721,POA
-9372900.73415531,1077283.92992147,55,56,Pirris,San José,Aserri,Legua,10605,478247.605,1065020.2871,PIR
-9414867.89297182,1163141.75157716,56,57,Peñas Blancas,Alajuela,San Ramon,Peñas Blancas,20213,437017.941,1149071.9132,PBL
-9376257.8638698,1068604.69464818,57,58,Parrita,Puntarenas,Parrita,Parrita,60901,474932.1506,1056520.1923,PAR
-9529571.39954122,1193991.09607235,58,59,Papagayo,Guanacaste,Liberia,Nacascolo,50104,324328.3952,1179604.5366,PAP
-9410120.44578252,1073090.65114544,59,60,Jacó,San Jose,Turrubares,Carara,11605,441545.6551,1060951.8142,JAC
-9380833.535761,1118003.63964309,60,61,Coyol,Alajuela,Alajuela, San José,20202,470458.5636,1104889.0886,COY
-9408833.4857944,1147783.60875279,61,62,Balsa,Alajuela,San Ramón,Angeles,20208,442929.2237,1134049.3741,BAL
-9368818.75038954,1111600.81698134,62,63,Escazú,San José,Escazú,San Rafael,10203,482288.1366,1098616.0527,ESC
-9352620.25702793,1118083.71272038,63,64,Coronado,San José,Vazquez de Coronado,Dulce Nombre,11103,498244.0179,1104955.4241,CON
-9341444.17162231,1143124.34950621,64,863,General,Heredia,Sarapiquí,Horquetas,41003,509244.2392,1129448.9715,GEN
-9250670.96249307,1120291.68445066,65,864,Río Blanco,Limón,Limón,Río Blanco,70102,598644.699,1107250.353,RBL
-9357322.16767175,1113355.67892196,66,865,Guadalupe,San José,Goicoechea,Calle Blancos,10803,493612.619,1100329.5797,GUD
-9361063.5525156,1113019.09429924,67,866,Uruca,San José,San José,Uruca,10107,489927.4262,1100001.0446,URU
-9360352.00477763,1110829.49153172,68,867,Los Ángeles,San José,San José,Hospital,10103,490627.7247,1097858.1209,LAN
-9358356.4574859,1103880.30175223,69,869,Higuito,San José,Desamparados,San Rafael Arriba,10304,492592.0074,1091056.3997,HIG
-9369712.15916121,1117864.18097102,70,0,Ribera,Heredia,Belen,Ribera,40702,481411.26152258,1104745.35534412,RIB
